business_date,portfolio_id,security_id,exchange,quantity,market_value,currency
2023-06-30,PORT001,AAPL,NASDAQ,1000,189523.50,USD
2023-06-30,PORT001,GOOGL,NASDAQ,500,61234.75,USD
2023-06-30,PORT001,MSFT,NASDAQ,750,253987.25,USD
2023-06-30,PORT001,AMZN,NASDAQ,300,34998.00,USD
2023-06-30,PORT002,TSLA,NASDAQ,200.0,49876.00,USD
2023-06-30,PORT002,NVDA,NASDAQ,400,181234.00,USD
2023-06-30,PORT002 ,AMD,NASDAQ,1000,109876.50,USD
2023-06-30,PORT003,JPM,NYSE,600,79998.00,USD
2023-06-30,PORT003,BAC,NYSE,2000,59876.00,USD
06/30/2023,PORT003,WFC,NYSE,1500,64987.50,USD
2023-06-30,PORT004,JNJ,NYSE,400,70123.00,USD
2023-06-30,PORT004,PFE,NYSE,1000,39998.00,USD
2023-06-30,PORT004,MRK,NYSE,800,90234.00,USD
30-06-2023,PORT005,XOM,NYSE,700,74998.50,USD
2023-06-30,PORT005,CVX,NYSE,500,54987.25,USD
