business_date,portfolio_id,nav,daily_pnl,ytd_return
2023-06-30,PORT001,10234567.89,52345.67,7.68%
2023-06-30,PORT002,20123456.78,98765.43,9.32%
2023-06-30,PORT003,15345678.90,73456.78,6.54%
2023-06-30,PORT004,12456789.01,61234.56,8.43%
2023-06-30,PORT005,18234567.89,87654.32,0.0721
2023-06-29,PORT001,9987654.32,41234.56,7.63% 
2023-06-29,PORT002,19876543.21,94321.09,9.27%
2023-06-29,PORT003,14987654.32,69876.54,6.49%
2023-06-29,PORT004,11987654.32,56789.01,8.38%
2023-06-29,PORT005,17987654.32,83210.98,7.16%
